Serial.no,Century,Region,Level,Sub_level,Records,data_type,data_source,material,Proxy,Record,Variable,Avg,abs_4_negative,log,z_score_cal,Mean,Mean_n,sd_100,Latitude,Longitude,Elevation..m.,Zone,Group,abs_4_log_R,log_value_R,z_score_R,exp_log_R,sub_zone,,,
1,800,Kongressvatnet,Atm,Air temperature,Temp..JJA.,Proxy,Lake,Sediment,Alkenone,UK37,Temp,3,3,0.477121255,1.098550767,1.01897083,1.01897083,0,78.0217,13.9311,,High-Latitude,8,3,1.098612289,1.00283506,3,West,,,
2,900,Kongressvatnet,Atm,Air temperature,Temp..JJA.,Proxy,Lake,Sediment,Alkenone,UK37,Temp,2.125,2.125,0.327358934,-1.281102798,-1.131312145,-1.131312145,0.287228132,78.0217,13.9311,,High-Latitude,8,2.125,0.753771802,-1.169481502,2.125,West,,,
3,1000,Kongressvatnet,Atm,Air temperature,Temp..JJA.,Proxy,Lake,Sediment,Alkenone,UK37,Temp,3.05,3.05,0.484299839,1.212615136,1.141844143,1.141844143,0.465474668,78.0217,13.9311,,High-Latitude,8,3.05,1.115141591,1.106961106,3.05,West,,,
4,1100,Kongressvatnet,Atm,Air temperature,Temp..JJA.,Proxy,Lake,Sediment,Alkenone,UK37,Temp,2.4,2.4,0.380211242,-0.441304234,-0.455508924,-0.455508924,0.282842712,78.0217,13.9311,,High-Latitude,8,2.4,0.875468737,-0.402853806,2.4,West,,,
5,1200,Kongressvatnet,Atm,Air temperature,Temp..JJA.,Proxy,Lake,Sediment,Alkenone,UK37,Temp,2.18,2.18,0.338456494,-1.104767748,-0.996151501,-0.996151501,0.31144823,78.0217,13.9311,,High-Latitude,8,2.18,0.779324877,-1.00851036,2.18,West,,,
6,1300,Kongressvatnet,Atm,Air temperature,Temp..JJA.,Proxy,Lake,Sediment,Alkenone,UK37,Temp,2.757142857,2.757142857,0.440459269,0.516008877,0.422157596,0.422157596,0.423702501,78.0217,13.9311,,High-Latitude,8,2.757142857,1.014194947,0.471049503,2.757142857,West,,,
7,800,Lake Redon,Atm,Air temperature,Temp_anom..winter.spring.,Proxy,Lake,Sediment,Lake sediment,Chrysophyte cyst,Temp,-0.0425,1.74,0.240549248,1.339534527,1.2824691,1.2824691,0.244045761,42.6425,0.770278,2240,Mid-Latitude,14,1.74,0.553885113,1.222822128,1.74,West,,,
8,900,Lake Redon,Atm,Air temperature,Temp_anom..winter.spring.,Proxy,Lake,Sediment,Lake sediment,Chrysophyte cyst,Temp,-0.1275,1.655,0.218797998,1.103188412,1.010057921,1.010057921,0.328570135,42.6425,0.770278,2240,Mid-Latitude,14,1.655,0.503801009,1.007068631,1.655,West,,,
9,1000,Lake Redon,Atm,Air temperature,Temp_anom..winter.spring.,Proxy,Lake,Sediment,Lake sediment,Chrysophyte cyst,Temp,-0.6775,1.105,0.043362278,-0.803072171,-0.752602649,-0.752602649,0.267379256,42.6425,0.770278,2240,Mid-Latitude,14,1.105,0.099845335,-0.733101239,1.105,West,,,
10,1100,Lake Redon,Atm,Air temperature,Temp_anom..winter.spring.,Proxy,Lake,Sediment,Lake sediment,Chrysophyte cyst,Temp,-0.7825,1,0,-1.274240764,-1.089110577,-1.089110577,0.246086028,42.6425,0.770278,2240,Mid-Latitude,14,1,0,-1.16321735,1,West,,,
11,1200,Lake Redon,Atm,Air temperature,Temp_anom..winter.spring.,Proxy,Lake,Sediment,Lake sediment,Chrysophyte cyst,Temp,-0.36,1.4225,0.153052275,0.388804362,0.264933225,0.264933225,0.042426407,42.6425,0.770278,2240,Mid-Latitude,14,1.4225,0.352415887,0.354928199,1.4225,West,,,
12,1300,Lake Redon,Atm,Air temperature,Temp_anom..winter.spring.,Proxy,Lake,Sediment,Lake sediment,Chrysophyte cyst,Temp,-0.666,1.1165,0.047858727,-0.754214366,-0.715747019,-0.715747019,0.437069788,42.6425,0.770278,2240,Mid-Latitude,14,1.1165,0.110198792,-0.688500369,1.1165,West,,,
13,1000,Seebergsee,Atm,Air temperature,Temp_11.year.mean..July.,Proxy,Lake,Sediment,Multi-proxy,Chironomid,Temp,1.675882353,3.334182353,0.522989349,0.874562875,1.105055939,1.105055939,0.142436776,46.116667,7.466667,,Mid-Latitude,23,3.334182353,1.204227478,0.757393667,3.334182353,West,,,
14,1100,Seebergsee,Atm,Air temperature,Temp_11.year.mean..July.,Proxy,Lake,Sediment,Multi-proxy,Chironomid,Temp,1.3239,2.9822,0.474536766,0.6384675,0.724217466,0.724217466,0.304905665,46.116667,7.466667,,Mid-Latitude,23,2.9822,1.092661283,0.552929074,2.9822,West,,,
15,1200,Seebergsee,Atm,Air temperature,Temp_11.year.mean..July.,Proxy,Lake,Sediment,Multi-proxy,Chironomid,Temp,0.7213,2.3796,0.37650396,0.160782085,0.072215279,0.072215279,0.627225178,46.116667,7.466667,,Mid-Latitude,23,2.3796,0.866932406,0.13924137,2.3796,West,,,
16,1300,Seebergsee,Atm,Air temperature,Temp_11.year.mean..July.,Proxy,Lake,Sediment,Multi-proxy,Chironomid,Temp,-0.6583,1,0,-1.67381246,-1.420486707,-1.420486707,0.483273883,46.116667,7.466667,,Mid-Latitude,23,1,0,-1.449564111,1,West,,,
17,800,Spannagel Cave,Atm,Air temperature,Temp_recon,Proxy,Stalagmite,Stalagmite,Stalagmite,d18O,Temp,1.788461538,1.788461538,0.252479605,0.144327578,0.353057545,0.353057545,0.421736338,47.09,11.67,2531,Mid-Latitude,26,1.788461538,0.252479605,0.144327578,1.155262485,West,,,
18,900,Spannagel Cave,Atm,Air temperature,Temp_recon,Proxy,Stalagmite,Stalagmite,Stalagmite,d18O,Temp,1.6,1.6,0.204119983,-0.827219359,-0.232098309,-0.232098309,0.3082207,47.09,11.67,2531,Mid-Latitude,26,1.6,0.204119983,-0.827219359,0.43726347,West,,,
19,1000,Spannagel Cave,Atm,Air temperature,Temp_recon,Proxy,Stalagmite,Stalagmite,Stalagmite,d18O,Temp,2.066666667,2.066666667,0.315270435,1.405798117,1.216859045,1.216859045,0.481543412,47.09,11.67,2531,Mid-Latitude,26,2.066666667,0.315270435,1.405798117,4.078780787,West,,,
20,1100,Spannagel Cave,Atm,Air temperature,Temp_recon,Proxy,Stalagmite,Stalagmite,Stalagmite,d18O,Temp,1.9,1.9,0.278753601,0.672173317,0.699374276,0.699374276,0.360555128,47.09,11.67,2531,Mid-Latitude,26,1.9,0.278753601,0.672173317,1.958489116,West,,,
